,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
8am,0.34,0.21,0.13,0.21,0.25,0.29,0.32
9am,0.52,0.33,0.32,0.33,0.33,0.4,0.49
10am,0.69,0.44,0.45,0.44,0.4,0.55,0.67
11am,0.8,0.50,0.53,0.48,0.47,0.57,0.82
12pm,0.86,0.54,0.52,0.49,0.53,0.62,0.83
1pm,0.91,0.63,0.53,0.5,0.59,0.65,0.86
2pm,0.92,0.60,0.55,0.56,0.64,0.67,0.85
3pm,0.91,0.61,0.58,0.6,0.72,0.7,0.87
4pm,0.85,0.62,0.62,0.61,0.75,0.72,0.81
5pm,0.74,0.63,0.64,0.63,0.82,0.75,0.71
6pm,0.61,0.65,0.61,0.69,0.85,0.75,0.58
7pm,0.45,0.57,0.55,0.7,0.83,0.72,0.47
8pm,0.29,0.46,0.5,0.6,0.7,0.55,0.4
,,,,,,,
